"seq","nodeName","COI","connection","campus","bicycle","congestion","symbol","people"
"1","校医院","(150,175)","6-9","沙河校区","00","22","","2"
"2","快递站","(95,255)","6","沙河校区","0","1","","0"
"3","基建处","(210,255)","6","沙河校区","0","1","","0"
"4","西门","(70,365)","8-58","沙河校区","10","20","校车","1"
"5","5号路口","(220,370)","8-10-7","沙河校区","111","222","","0"
"6","6号路口","(150,260)","1-2-3-8","沙河校区","0000","2111","","0"
"7","体育馆","(220,460)","5-11-14","沙河校区","101","111","","1"
"8","8号路口","(150,365)","4-5-6","沙河校区","110","211","","0"
"9","田径场","(380,230)","1-10-17","沙河校区","011","221","","1"
"10","10号路口","(360,370)","5-9-11-12","沙河校区","1101","2222","","0"
"11","信息楼","(360,420)","7-10-14","沙河校区","000","121","","1"
"12","12号路口","(485,365)","10-13-15","沙河校区","101","211","","0"
"13","13号路口","(485,420)","12-14-23","沙河校区","000","112","","0"
"14","雁南园","(485,510)","7-11-13-25-101","沙河校区","10010","11110","公寓","3"
"15","15号路口","(570,365)","12-16-22","沙河校区","111","000","","0"
"16","16号路口","(565,290)","15-17-21","沙河校区","110","001","","0"
"17","17号路口","(565,230)","9-16-18","沙河校区","111","000","","0"
"18","18号路口","(565,120)","17-19","沙河校区","11","01","","0"
"19","雁北园学生公寓女","(650,120)","18-20-31-101","沙河校区","1000","1120","公寓","3"
"20","20号路口","(650,185)","19-21-31","沙河校区","000","112","","0"
"21","雁北园学生公寓男","(650,290)","16-20-29-101","沙河校区","0000","1110","公寓","3"
"22","22号路口","(670,365)","15-23-28","沙河校区","101","020","","0"
"23","超市","(670,420)","13-22-24","沙河校区","000","222","","2"
"24","24号路口","(700,450)","23-25-26","沙河校区","000","222","","0"
"25","公共教学楼","(785,550)","14-24-26-49-50-136","沙河校区","100010","122210","教学楼","2"
"26","南区食堂","(790,450)","24-25-27-49","沙河校区","0000","2222","食堂","2"
"27","27号路口","(790,365)","26-28-46","沙河校区","011","000","","0"
"28","28号路口","(755,365)","22-27-29","沙河校区","110","000","","0"
"29","29号路口","(755,285)","21-28-30-31","沙河校区","0000","1012","","0"
"30","学生活动中心","(845,285)","29-32-46","沙河校区","000","111","","1"
"31","31号路口","(755,185)","19-20-29-32-33","沙河校区","00000","22222","","0"
"32","32号路口","(845,185)","30-31-35-37","沙河校区","0000","1202","","0"
"33","33号路口","(755,155)","31-34-35","沙河校区","000","200","","0"
"34","实验楼","(755,80)","33","沙河校区","0","0","教学楼","1"
"35","学生食堂","(845,115)","32-33-36","沙河校区","000","000","食堂","3"
"36","教工食堂","(905,145)","35-37-38","沙河校区","000","020","食堂","2"
"37","37号路口","(905,185)","32-36-39","沙河校区","000","222","","0"
"38","综合办公楼","(970,110)","36-39-40","沙河校区","000","000","","1"
"39","39号路口","(970,185)","37-38-41-42","沙河校区","0000","2002","","0"
"40","40号路口","(1025,150)","38-41-56","沙河校区","000","002","","0"
"41","41号路口","(1025,185)","39-40","沙河校区","00","00","","0"
"42","时代广场","(970,260)","39-43-45-56","沙河校区","0001","2111","","3"
"43","移动运营商","(935,300)","42-44","沙河校区","00","10","","0"
"44","44号路口","(970,300)","43-45-48","沙河校区","000","000","","0"
"45","邮局ATM","(1015,300)","42-44","沙河校区","00","10","","0"
"46","46号路口","(845,365)","27-30-47","沙河校区","101","010","","0"
"47","47号路口","(905,365)","46-48-49","沙河校区","110","002","","0"
"48","48号路口","(970,365)","44-47-52","沙河校区","111","000","","0"
"49","学院楼","(905,465)","25-26-47-50-136","沙河校区","00000","22220","教学楼","1"
"50","报告厅","(970,510)","25-49-51-55","沙河校区","1000","1220","","0"
"51","教学综合实验楼","(1050,420)","50-52-54-136","沙河校区","0000","2220","教学楼","2"
"52","52号路口","(1050,365)","48-51-53","沙河校区","101","022","","0"
"53","东门","(1125,365)","52-54-56-94","沙河校区","1110","2110","班车","2"
"54","54号路口","(1125,420)","51-53-55","沙河校区","011","211","","0"
"55","55号路口","(1125,510)","50-54","沙河校区","01","00","","0"
"56","图书馆","(1125,150)","40-42-53-57","沙河校区","0110","2102","","2"
"57","咖啡厅","(1090,105)","56","沙河校区","0","2","","0"
"58","西门","(40,285)","59-60-63-4","西土城校区","0110","0100","校车","1"
